Company,n_obs,alpha,beta,se_beta,t_beta,p_beta,R2,DW,bp_stat,bp_p
Palantir,51,0.010506584038675276,2.273104183470374,0.5057277202856045,4.494719376241947,6.966175357435811e-06,0.4075075127613257,2.48711506509697,3.766133223143505,0.05230040719230653
Tesla,83,0.008110343539207214,1.7385431773291915,0.2697823630279942,6.444243270079112,1.1617860970036162e-10,0.36447022283987085,1.7876969082376368,0.0022139969599432874,0.9624708834737139
Nvidia,83,0.012834508645541452,1.6236787463163846,0.15879465282924424,10.225021544411613,1.5319388738666776e-24,0.575615886024366,1.7083484948163348,0.14026557575166942,0.7080171367054078
Cloudflare,63,0.0006199294648715358,1.5074364220657697,0.2802021585013974,5.379817308074919,7.456146561063264e-08,0.3176647530543286,2.0306442100895468,0.1276989259123904,0.7208299041953438
Spotify,80,-0.011248802989602201,1.5049237995806248,0.145969869623325,10.30982492115721,6.361710858140178e-25,0.5597675550061347,2.0011675150376034,0.036438247349419584,0.8486133033230008
Netflix,83,-0.005853491203661167,1.3356045696787655,0.28909474134086643,4.619954563974507,3.8382408832222506e-06,0.4904083017043833,1.8066980821057763,13.801723931911647,0.00020314973884858522
ASML,83,-0.0014253450468997703,1.1229001110598142,0.08128581933281322,13.81421901478608,2.0921086297576587e-43,0.5803696785687007,1.6190404968878274,0.20357090841360326,0.651853820396308
Salesforce,83,-0.003913085366857371,1.1158774985812556,0.11267663696924696,9.903361766874655,4.0251249682372603e-23,0.5918318845664866,2.0119556086164807,0.9183175463530089,0.3379171177566661
Workday,83,-0.006924832841784384,1.0725850918318136,0.13090684919999143,8.193498647218863,2.5374031212056727e-16,0.4633219873463793,2.230707166369677,0.32171542513076123,0.5705785564897327
Amazon,83,-0.0028983829979875204,1.072074210526802,0.10981443257943056,9.762598461284707,1.6292624397690498e-22,0.6201426032076983,2.0733624232074157,0.6503151723043527,0.4200000197768998
Adobe,83,-0.006613839928136423,1.0687672901529979,0.1122050269659201,9.525128410491032,1.648380038656327e-21,0.5450188277395087,1.8890320073582778,0.2902791191328957,0.5900417196953867
Snowflake,51,-0.023110487009639684,1.015399209829228,0.2440846304054701,4.160029282230759,3.182067949159289e-05,0.30009788796183423,2.0699102341186983,0.1402860667503092,0.7079967887267669
Meta Platforms,83,-0.0015322697954110026,1.014202517016397,0.14919480087981285,6.797840883432729,1.0619865021260948e-11,0.342788556059329,1.9872748085994194,0.007010542318247492,0.933271914258708
ServiceNow,83,0.009395587433584504,0.9411925571531861,0.08307747195698936,11.329094819356776,9.417291135979876e-30,0.6118875137289308,2.221935532039064,4.387597330397355,0.03620129504761244
Apple,83,0.008080581254395454,0.9378054439774605,0.09170771199411287,10.226025964290358,1.516139072837538e-24,0.5367628181231214,1.7568568936625846,0.00204805042892775,0.9639037436805916
Taiwan Semiconductor,83,0.006142156638341884,0.9138106735391779,0.1171441782325814,7.8007348493654725,6.154771081981725e-15,0.40948692242650964,2.2421943657779537,1.2832255381438817,0.2573001614219354
Fortinet,83,0.014253288188892125,0.910983662296658,0.15591370068455584,5.842871141515379,5.130870649659503e-09,0.29935609493106263,2.174346848893473,0.10618320243974255,0.7445320652203101
Broadcom,83,0.01610880217144956,0.90060660923814,0.11464882180535861,7.855349885471271,3.9865769711499264e-15,0.4096602602960877,2.0127687607963707,0.00020978617250189124,0.9884438463761268
Accenture,83,-0.002622250880782953,0.8753013831974695,0.06889916500799975,12.704092757812667,5.611643470491061e-37,0.6340884519666734,1.6745017954659145,2.843422270700106,0.09174861569047296
SAP,83,-0.002031997850136801,0.8484602051706859,0.09584552697810049,8.852371434762402,8.567900407475371e-19,0.42659115746107557,1.9436856916512537,0.1665016762012801,0.6832397794718643
Alphabet,83,0.0023793399345241745,0.7750628760452515,0.0791445598876624,9.793002540482552,1.2065858793516103e-22,0.49111374012555464,2.0821627854492646,0.6343527950420357,0.4257631609502809
Sony,83,-0.0017029220226571812,0.7743120470552879,0.09282410342575714,8.341713180936894,7.322187944032945e-17,0.40055710959783064,2.2635465198811744,0.011455548734281895,0.9147647061251832
Intel,83,-0.020256506459223656,0.7660304920262601,0.142832426075323,5.363141361348102,8.178694911710603e-08,0.2304198708363666,2.017754191427385,0.0239532030792855,0.877004043095867
Oracle,83,0.0038244654616400907,0.7612976871118813,0.08141652217099987,9.35065348913972,8.710784551775518e-21,0.4103201611553481,2.4213557150226612,0.2492243684641564,0.6176217536840474
Microsoft,83,0.007825210877281519,0.7310214203308809,0.06162058106202273,11.863267235261684,1.8366561253777899e-32,0.655235490193608,1.9968779839914454,3.2670900177286857,0.07068289958224801
Infosys,83,0.002548887980209509,0.6934973297078615,0.10742163384729365,6.455844180267356,1.0761729566505316e-10,0.33736268718626716,1.8893218110340648,0.02429041185855707,0.8761482501015213
Cisco,83,-0.0028438571605958933,0.629641327804077,0.09569557962174323,6.579628132175654,4.716263258560297e-11,0.34195391683487675,2.1608183298365726,1.7400336557144196,0.18713456239664597
Samsung,83,-0.005955290906689761,0.5918675502819336,0.10344589874176786,5.721517793174318,1.0557659873416695e-08,0.26785874357055683,1.954436371761445,1.3063641401146853,0.2530540041854558
IBM,83,-0.00012148647677812124,0.5340758725094789,0.14139026296960275,3.777317201993598,0.0001585267777004693,0.22485799817319874,2.112650506106067,1.0548533891692498,0.3043919496722599
Tencent,83,-0.006553830423300634,0.4396909388268779,0.1792771458535838,2.452576633420831,0.01418371639202047,0.08003434232070161,2.05196394974306,0.00016841633185327165,0.989645718371452
