Company,Ticker,MeanReturn,Volatility,Beta,AvgVolume,N_months,PC1,PC2
ASML,ASML,0.0156850876484325,0.0967612782384247,1.272729264208645,20838397.590361446,83,-0.004280743958144814,-0.3370938330830526
Accenture,ACN,0.0107153427821085,0.0721598334591538,0.989994840434207,47022900.0,83,-0.9419077089146903,0.09763417712365943
Adobe,ADBE,0.0096717322300815,0.0950364555001762,1.1870088751915011,64039602.40963856,83,-0.40392091404061337,-0.29517338102714485
Alphabet,GOOGL,0.0141895277193542,0.0726036948095754,0.9307173102916088,708994878.313253,83,-0.7231419318031723,0.4460127081380698
Amazon,AMZN,0.013437579072857,0.0893700280569544,1.2456514846423867,1591051491.566265,83,0.12516277976103557,0.4883997436193346
Apple,AAPL,0.0223705940279695,0.0840300006102189,1.1656345003141684,2092424709.6385543,83,0.44023303572260947,0.8841436316745875
Broadcom,AVGO,0.0298319896754534,0.0923710841348412,0.9775210329754436,572082310.8433735,83,0.2383891982321836,0.19415623704887403
Cisco,CSCO,0.0067504384098472,0.0706841865120696,0.6778286243236861,444288350.60240966,83,-1.5068014526019737,0.41032655890209646
Cloudflare,NET,0.0280964397395468,0.1838200649844059,1.3279142662598007,88309877.77777778,63,1.7156791432315748,-1.429289909537363
Fortinet,FTNT,0.0281345982776075,0.1093023162545592,0.9627818222201612,144752103.61445785,83,0.25629862912732365,-0.23767766251967937
IBM,IBM,0.0080166098514424,0.073936964757854,0.5854242915849833,103264967.28915665,83,-1.6274073849790178,0.255763605572401
Infosys,INFY,0.0131162031558751,0.0783806929913574,0.7361721822394502,204306028.91566265,83,-1.1033454869427493,0.21027291537656803
Intel,INTC,-0.0085839515745181,0.1047608279582856,0.851035803875817,758620795.1807228,83,-1.4147996708250046,-0.07676137366496791
Meta Platforms,META,0.0139218598604024,0.1137167282515208,1.18834805309639,477599165.060241,83,0.10939579409477732,-0.3299042164772834
Microsoft,MSFT,0.0189643074792155,0.0592849183300393,0.8633099264669446,597136773.4939759,83,-0.8088592881426938,0.6336302436765778
Netflix,NFLX,0.0144980715684698,0.1252021592965434,1.3908522955459308,1517224698.7951808,83,0.817560672926506,-0.08638523997622273
Nvidia,NVDA,0.0375756638329489,0.1404903678561984,1.883361420532364,9674826953.012049,83,4.607514714924068,3.4248598805305748
Oracle,ORCL,0.0154249032104133,0.0780199937957739,0.852207994057371,243340824.09638557,83,-0.8258811289719031,0.19822332457977443
Palantir,PLTR,0.041075461989354,0.2480740060816658,2.142153341472598,1151001913.72549,51,4.536398996136399,-2.07269627535299
SAP,SAP,0.0108965975718895,0.0852782702192795,0.958313986397714,18683927.710843373,83,-0.8242865901938127,-0.07839181605007203
Salesforce,CRM,0.0130903387557832,0.0952204369853862,1.1769060509471956,137431087.95180723,83,-0.2520553155755086,-0.23760774562780868
Samsung,005930.KS,0.0030634185794924,0.0750731166119977,0.6599827851240494,326814298.57831323,83,-1.6650625427501642,0.2806745398057976
ServiceNow,NOW,0.0237372120749052,0.0789869815972119,0.9337450551545392,174100518.07228917,83,-0.34845548769826284,0.17087211186644993
Snowflake,SNOW,-0.00945532120501,0.1291323576454226,0.9170104903927736,115646862.74509804,51,-1.1972772304684811,-0.7386364422732964
Sony,SONY,0.0100958248434554,0.0803149925388432,0.8485414717387141,101051433.73493975,83,-1.0657839106841318,0.06891851147485316
Spotify,SPOT,0.0128457534965915,0.1341682445892626,1.5979047879621715,38192011.25,80,0.8285365833614704,-0.9927394392651593
Taiwan Semiconductor,TSM,0.020066543920761,0.0937451994840938,1.0047950801215773,220203436.1445783,83,-0.20664418716120922,-0.06127499322965313
Tencent,0700.HK,0.0001460551154443,0.1020286534294052,0.3975763182341604,494464799.0963856,83,-1.8084642186418505,0.08732654382170521
Tesla,TSLA,0.0346017702748803,0.1890459092941199,1.894541615422008,2687104761.445783,83,3.5023652207185867,-0.4963336816051589
Workday,WDAY,0.0094189138931622,0.1034434818937182,1.0968568202553817,44075762.65060241,83,-0.44915957388314914,-0.3812487235214729
