Company,n,MeanReturn,SE,df,CI_t_low,CI_t_high,CI_boot_low,CI_boot_high
Palantir,51,0.04107546198935404,0.03473730900812,50,-0.02869647654876524,0.11084740052747331,-0.024120529663257635,0.11083122206336415
Nvidia,83,0.037575663832948955,0.015420821263415,82,0.006898737927351257,0.06825258973854666,0.007542148654859121,0.06758341665145891
Tesla,83,0.03460177027488029,0.020750484337747194,82,-0.0066775532877719965,0.07588109383753258,-0.00417637138213356,0.0742605797036563
Broadcom,83,0.02983198967545343,0.010139043694506274,82,0.009662201902353548,0.05000177744855331,0.010633964007868263,0.04955217374685318
Fortinet,83,0.02813459827760754,0.011997487858840791,82,0.004267773040994835,0.05200142351422025,0.0055996617303418796,0.05050035489841435
Cloudflare,63,0.02809643973954685,0.023159151330117624,62,-0.01819804412802396,0.07439092360711766,-0.019620739183711836,0.07247552513218697
ServiceNow,83,0.023737212074905274,0.008669947583837259,82,0.0064899244569764265,0.04098449969283412,0.007934820214790908,0.04030375159074904
Apple,83,0.022370594027969568,0.009223490833913908,82,0.004022132550485554,0.040719055505453586,0.004763759255394781,0.040261350677265585
Taiwan Semiconductor,83,0.020066543920761053,0.010289872448957462,82,-0.00040329029251837123,0.04053637813404048,0.0014283978461411392,0.040326177509934835
Microsoft,83,0.01896430747921556,0.006507365189045998,82,0.006019085150581818,0.0319095298078493,0.006618359637850418,0.03145502150103291
ASML,83,0.015685087648432502,0.010620930101497223,82,-0.005443325696526339,0.03681350099339134,-0.004260908318866223,0.03701314096118914
Oracle,83,0.01542490321041336,0.008563806883393353,82,-0.0016112367424549502,0.032461043163281675,-0.000868936729371807,0.03178224459621531
Netflix,83,0.014498071568469889,0.01374272236429642,82,-0.012840581056400768,0.041836724193340544,-0.01413571470978414,0.0401218249689685
Alphabet,83,0.014189527719354231,0.007969290833290362,82,-0.001663930422528664,0.030042985861237125,-0.0010080303627438263,0.029619139630721554
Meta Platforms,83,0.013921859860402409,0.012482032524976896,82,-0.010908879072316394,0.038752598793121214,-0.011126254849751067,0.03776964121399902
Amazon,83,0.013437579072857087,0.009809634994929468,82,-0.006076909861292428,0.032952068007006605,-0.005665306542267277,0.03255745333084732
Infosys,83,0.013116203155875155,0.008603398763675453,82,-0.003998697659150266,0.030231103970900577,-0.002837315496693238,0.03030490146002578
Salesforce,83,0.013090338755783278,0.010451800801595856,82,-0.00770162253432626,0.033882300045892814,-0.007092480163229087,0.03319450506040999
Spotify,80,0.012845753496591502,0.015000465766170474,79,-0.01701192674123236,0.04270343373441536,-0.016680612956504404,0.041596492052457926
SAP,83,0.010896597571889582,0.00936050622382006,82,-0.007724431163348044,0.029517626307127207,-0.00758022010504638,0.028691676522548906
Accenture,83,0.01071534278210855,0.007920570720623315,82,-0.0050411955355399996,0.0264718810997571,-0.0043175879424390065,0.025724638516208452
Sony,83,0.0100958248434554,0.008815715722103625,82,-0.007441442036965977,0.027633091723876776,-0.006760508336948325,0.026687562152005826
Adobe,83,0.009671732230081503,0.01043160621001998,82,-0.011080055584252348,0.030423520044415356,-0.010925806938821569,0.029559327682530695
Workday,83,0.009418913893162231,0.011354397240820912,82,-0.013168599243103101,0.03200642702942756,-0.01236362711965716,0.03087467821085879
IBM,83,0.008016609851442407,0.008115636222529662,82,-0.0081279758890056,0.024161195591890415,-0.008041851192424275,0.0232124124470282
Cisco,83,0.006750438409847265,0.0077585974254705745,82,-0.008683883425993381,0.022184760245687912,-0.007663607778503881,0.021581281023120725
Samsung,83,0.0030634185794924597,0.008240345090035656,82,-0.013329252825324708,0.019456089984309626,-0.01292415451690568,0.018898826539902117
Tencent,83,0.0001460551154443228,0.011199099641423245,82,-0.022132521624460468,0.022424631855349115,-0.02177784052405739,0.022093899245679463
Intel,83,-0.008583951574518148,0.011498994756748482,82,-0.03145911523253404,0.014291212083497751,-0.030474203860772864,0.012455691736352144
Snowflake,51,-0.00945532120501002,0.018082146861446737,50,-0.04577438204991304,0.026863739639893004,-0.043816370705286135,0.02840267181378065
