Company,n,tstat,pval,mean,p_bonf,p_fdr,reject_bonf,reject_fdr
Broadcom,83,2.942288303937141,0.004234807545354694,0.02983198967545343,0.1270442263606408,0.06891085177261029,False,False
Microsoft,83,2.914283573809355,0.004594056784840686,0.01896430747921556,0.13782170354522058,0.06891085177261029,False,False
ServiceNow,83,2.737872616341626,0.007582202397805904,0.023737212074905274,0.22746607193417712,0.07582202397805904,False,False
Nvidia,83,2.4366837012821767,0.016987437771640104,0.037575663832948955,0.5096231331492032,0.10492502490681761,False,False
Apple,83,2.4253934254170884,0.017487504151136268,0.022370594027969568,0.524625124534088,0.10492502490681761,False,False
Fortinet,83,2.345040779255761,0.02144220964551848,0.02813459827760754,0.6432662893655544,0.10721104822759239,False,False
Taiwan Semiconductor,83,1.9501256230629112,0.054578217063585094,0.020066543920761053,1.0,0.23390664455822183,False,False
Oracle,83,1.8011736392987576,0.0753516234591308,0.01542490321041336,1.0,0.26231264470617005,False,False
Alphabet,83,1.7805257727676198,0.07869379341185101,0.014189527719354231,1.0,0.26231264470617005,False,False
Tesla,83,1.6675162715087197,0.09922671590068577,0.03460177027488029,1.0,0.2976801477020573,False,False
Infosys,83,1.5245373969242584,0.13122222696332989,0.013116203155875155,1.0,0.3578788008090815,False,False
ASML,83,1.4768092340821817,0.14355707510613736,0.015685087648432502,1.0,0.3588926877653434,False,False
Amazon,83,1.3698347675324183,0.17447785772169214,0.013437579072857087,1.0,0.38533298459850457,False,False
Accenture,83,1.3528498336879062,0.17982205947930213,0.01071534278210855,1.0,0.38533298459850457,False,False
Salesforce,83,1.252448166997648,0.2139668755618648,0.013090338755783278,1.0,0.40193653690826553,False,False
Cloudflare,63,1.2131895223210734,0.22965930346901275,0.02809643973954685,1.0,0.40193653690826553,False,False
Palantir,51,1.1824595272982277,0.24261609526959563,0.04107546198935404,1.0,0.40193653690826553,False,False
SAP,83,1.1641034481832369,0.24775795429272948,0.010896597571889582,1.0,0.40193653690826553,False,False
Sony,83,1.1452076225804515,0.2554546315535361,0.0100958248434554,1.0,0.40193653690826553,False,False
Meta Platforms,83,1.1153519935590919,0.267957691272177,0.013921859860402409,1.0,0.40193653690826553,False,False
Netflix,83,1.0549635788419816,0.29454044627167875,0.014498071568469889,1.0,0.42077206610239826,False,False
IBM,83,0.9877980766545017,0.3261573584982188,0.008016609851442407,1.0,0.44476003431575295,False,False
Adobe,83,0.9271565696940719,0.3565661966725723,0.009671732230081503,1.0,0.4650863434859638,False,False
Cisco,83,0.8700591150259142,0.3868079484135586,0.006750438409847265,1.0,0.4721630260194063,False,False
Spotify,80,0.8563569756321602,0.3943904784797607,0.012845753496591502,1.0,0.4721630260194063,False,False
Workday,83,0.8295388732128992,0.40920795588348546,0.009418913893162231,1.0,0.4721630260194063,False,False
Intel,83,-0.7464958247311517,0.4575028920478924,-0.008583951574518148,1.0,0.5083365467198805,False,False
Snowflake,51,-0.5229092141248932,0.6033470562336474,-0.00945532120501002,1.0,0.6464432745360508,False,False
Samsung,83,0.3717585302582521,0.7110315726229416,0.0030634185794924597,1.0,0.7355499027133878,False,False
Tencent,83,0.013041683717510104,0.9896262153499931,0.0001460551154443228,1.0,0.9896262153499931,False,False
